temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
Low,High,Yes,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Good,Yes,0.487874636
High,Low,No,High,High,Anopheles gambiae,No,High,Yes,Yes,High,Urban,Yes,Yes,Bad,Bad,Yes,0.019256525
High,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,Yes,Yes,Bad,Good,No,0.978092225
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,Low,No,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.858584151
Low,High,Yes,High,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,No,Yes,Bad,Good,No,0.344198536
High,High,Yes,Low,Low,Anopheles gambiae,No,High,No,Yes,High,Rural,Yes,No,Bad,Bad,No,0.392651819
Low,Low,No,High,High,Aedes aegypti,Yes,High,No,No,Low,Urban,No,No,Bad,Good,No,0.947604293
High,High,Yes,High,Low,Anopheles gambiae,No,Low,No,Yes,High,Urban,No,Yes,Good,Bad,No,0.610807845
Low,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,Yes,Yes,Good,Bad,Yes,0.85631334
Low,Low,No,High,Low,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,No,Bad,Bad,Yes,0.03972616
Low,High,No,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,High,Rural,No,No,Good,Good,Yes,0.846173259
Low,High,Yes,Low,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,No,No,Bad,Good,No,0.977780417
Low,High,No,High,High,Aedes aegypti,Yes,High,Yes,No,Low,Urban,No,No,Bad,Good,No,0.971345722
High,High,No,Low,Low,Aedes aegypti,No,Low,No,Yes,High,Urban,Yes,No,Bad,Bad,No,0.938339367
Low,Low,Yes,High,High,Aedes aegypti,Yes,High,Yes,Yes,High,Rural,Yes,No,Good,Bad,No,0.856183837
Low,Low,Yes,High,Low,Anopheles gambiae,No,High,Yes,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.373805646
Low,High,No,Low,High,Culex quinquefasciatus,No,High,Yes,No,Low,Urban,No,Yes,Bad,Bad,No,0.841602401
Low,High,No,High,High,Anopheles gambiae,Yes,High,No,No,High,Rural,Yes,No,Good,Bad,Yes,0.384455229
Low,Low,No,High,High,Anopheles gambiae,No,High,Yes,Yes,High,Urban,Yes,No,Good,Bad,No,0.758645099
High,Low,No,High,Low,Culex quinquefasciatus,No,High,No,No,Low,Urban,Yes,No,Good,Good,No,0.881478056
Low,High,No,High,High,Anopheles gambiae,Yes,High,Yes,No,Low,Urban,Yes,No,Bad,Bad,No,0.612644572
High,Low,No,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,Low,Urban,Yes,Yes,Bad,Good,No,0.182636014
High,Low,No,Low,Low,Aedes aegypti,Yes,High,No,Yes,Low,Urban,No,Yes,Good,Bad,No,0.233453435
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Urban,No,Yes,Good,Good,No,0.591920315
High,Low,No,High,Low,Anopheles gambiae,Yes,Low,Yes,No,High,Rural,No,No,Good,Good,No,0.341174233
Low,High,No,High,High,Culex quinquefasciatus,No,Low,No,No,High,Rural,Yes,Yes,Bad,Good,No,0.206635094
Low,Low,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,No,High,Rural,Yes,Yes,Good,Good,Yes,0.309775398
High,High,Yes,High,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Rural,Yes,Yes,Good,Good,No,0.644945901
Low,High,No,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,No,0.196227356
Low,High,No,Low,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,Yes,Yes,Bad,Good,Yes,0.56299128
Low,Low,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,No,No,Good,Bad,No,0.133944327
High,High,No,Low,Low,Aedes aegypti,Yes,High,No,Yes,High,Rural,No,No,Good,Good,No,0.603071593
Low,Low,No,High,Low,Anopheles gambiae,Yes,Low,No,Yes,High,Rural,No,Yes,Good,Good,Yes,0.164908845
High,High,No,Low,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,Yes,Yes,Good,Good,Yes,0.602072136
Low,Low,No,Low,Low,Aedes aegypti,No,High,Yes,Yes,High,Urban,No,Yes,Bad,Bad,No,0.699665199
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,No,No,Good,Good,No,0.308874707
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,High,Yes,Yes,Low,Urban,No,No,Bad,Bad,Yes,0.993967635
High,High,No,Low,High,Anopheles gambiae,No,Low,No,Yes,Low,Urban,No,No,Good,Bad,Yes,0.280011879
Low,Low,No,High,High,Aedes aegypti,No,Low,No,No,High,Rural,Yes,No,Bad,Bad,Yes,0.240609915
High,High,Yes,High,Low,Aedes aegypti,No,Low,No,Yes,High,Urban,No,No,Bad,Good,No,0.206495427
High,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Urban,No,Yes,Good,Good,Yes,0.232843186
Low,High,No,High,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Urban,Yes,Yes,Good,Bad,No,0.100401891
Low,Low,Yes,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,No,Yes,Good,Good,No,0.237451342
Low,High,No,High,Low,Anopheles gambiae,No,Low,No,No,High,Urban,No,No,Bad,Bad,No,0.444814676
